community_area,community,cta_2024_total
32,LOOP,24506713
8,NEAR NORTH SIDE,10635999
6,LAKE VIEW,7872776
28,NEAR WEST SIDE,7617448
24,WEST TOWN,4842181
76,OHARE,3793669
7,LINCOLN PARK,3352754
22,LOGAN SQUARE,3320789
1,ROGERS PARK,3271681
33,NEAR SOUTH SIDE,2825789
27,EAST GARFIELD PARK,2643044
3,UPTOWN,2523907
29,NORTH LAWNDALE,2038009
34,ARMOUR SQUARE,1904365
77,EDGEWATER,1897403
16,IRVING PARK,1837526
56,GARFIELD RIDGE,1599477
44,CHATHAM,1591054
49,ROSELAND,1448518
11,JEFFERSON PARK,1393613
25,AUSTIN,1320037
14,ALBANY PARK,1147226
21,AVONDALE,1049712
37,FULLER PARK,1028149
5,NORTH CENTER,882006
69,GREATER GRAND CROSSING,769853
4,LINCOLN SQUARE,752331
38,GRAND BOULEVARD,650633
68,ENGLEWOOD,546461
59,MCKINLEY PARK,540177
60,BRIDGEPORT,526438
10,NORWOOD PARK,466558
31,LOWER WEST SIDE,438444
35,DOUGLAS,314569
42,WOODLAWN,274913
40,WASHINGTON PARK,219864
67,WEST ENGLEWOOD,191046
